,Nombre,Fecha,Precio corriente,Precio extra,Precio primera
0,CEBOLLA CABEZONA BLANCA,2019-08-10,1000.0,1200.0,1100.0
1,CEBOLLA CABEZONA BLANCA,2019-08-20,1100.0,1300.0,1200.0
2,CEBOLLA CABEZONA BLANCA,2019-08-23,1100.0,1300.0,1200.0
3,CEBOLLA CABEZONA BLANCA,2019-08-29,900.0,1100.0,1000.0
4,CEBOLLA CABEZONA BLANCA,2019-08-30,900.0,1100.0,1000.0
5,CEBOLLA CABEZONA BLANCA,2019-08-31,1000.0,1200.0,1100.0
6,CEBOLLA CABEZONA BLANCA,2019-09-02,1100.0,1300.0,1200.0
7,CEBOLLA CABEZONA BLANCA,2019-09-03,1000.0,1200.0,1100.0
8,CEBOLLA CABEZONA BLANCA,2019-09-04,1100.0,1300.0,1200.0
9,CEBOLLA CABEZONA BLANCA,2019-09-05,1000.0,1200.0,1100.0
10,CEBOLLA CABEZONA BLANCA,2019-09-06,1000.0,1200.0,1100.0
11,CEBOLLA CABEZONA BLANCA,2019-09-07,1000.0,1200.0,1100.0
12,CEBOLLA CABEZONA BLANCA,2019-09-09,1000.0,1200.0,1100.0
13,CEBOLLA CABEZONA BLANCA,2019-09-10,1000.0,1300.0,1200.0
14,CEBOLLA CABEZONA BLANCA,2019-09-11,1000.0,1300.0,1200.0
15,CEBOLLA CABEZONA BLANCA,2019-09-12,900.0,1100.0,1000.0
16,CEBOLLA CABEZONA BLANCA,2019-09-13,900.0,1100.0,1000.0
17,CEBOLLA CABEZONA BLANCA,2019-09-14,900.0,1100.0,1000.0
18,CEBOLLA CABEZONA BLANCA,2019-09-16,1000.0,1200.0,1100.0
19,CEBOLLA CABEZONA BLANCA,2019-09-17,1000.0,1200.0,1100.0
20,CEBOLLA CABEZONA BLANCA,2019-09-18,1100.0,1300.0,1200.0
21,CEBOLLA CABEZONA BLANCA,2019-09-19,1000.0,1200.0,1100.0
22,CEBOLLA CABEZONA BLANCA,2019-09-20,1000.0,1200.0,1100.0
23,CEBOLLA CABEZONA BLANCA,2019-09-23,1100.0,1300.0,1200.0
24,CEBOLLA CABEZONA BLANCA,2019-09-24,1100.0,1300.0,1200.0
25,CEBOLLA CABEZONA BLANCA,2019-09-30,900.0,1100.0,1000.0
26,CEBOLLA CABEZONA BLANCA,2019-10-01,900.0,1100.0,1000.0
27,CEBOLLA CABEZONA BLANCA,2019-10-02,900.0,1100.0,1000.0
28,CEBOLLA CABEZONA BLANCA,2019-10-03,800.0,1000.0,900.0
29,CEBOLLA CABEZONA BLANCA,2019-10-04,900.0,1100.0,1000.0
30,CEBOLLA CABEZONA BLANCA,2019-10-05,900.0,1100.0,1000.0
31,CEBOLLA CABEZONA BLANCA,2019-10-07,1000.0,1200.0,1100.0
32,CEBOLLA CABEZONA BLANCA,2019-10-09,1000.0,1200.0,1100.0
33,CEBOLLA CABEZONA BLANCA,2019-10-10,1000.0,1200.0,1100.0
34,CEBOLLA CABEZONA BLANCA,2019-10-11,920.0,1000.0,960.0
35,CEBOLLA CABEZONA BLANCA,2019-10-15,900.0,1100.0,1000.0
36,CEBOLLA CABEZONA BLANCA,2019-10-16,900.0,1100.0,1000.0
37,CEBOLLA CABEZONA BLANCA,2019-10-17,800.0,1000.0,900.0
38,CEBOLLA CABEZONA BLANCA,2019-10-18,800.0,1000.0,900.0
39,CEBOLLA CABEZONA BLANCA,2019-10-25,900.0,1100.0,1000.0
40,CEBOLLA CABEZONA BLANCA,2019-10-29,800.0,1000.0,900.0
41,CEBOLLA CABEZONA BLANCA,2019-10-31,800.0,1000.0,900.0
42,CEBOLLA CABEZONA BLANCA,2019-11-08,800.0,1000.0,900.0
43,CEBOLLA CABEZONA BLANCA,2019-11-15,800.0,1000.0,900.0
44,CEBOLLA CABEZONA BLANCA,2019-11-19,800.0,1000.0,900.0
45,CEBOLLA CABEZONA BLANCA,2019-11-21,800.0,1000.0,900.0
46,CEBOLLA CABEZONA BLANCA,2019-12-05,800.0,1000.0,900.0
47,CEBOLLA CABEZONA BLANCA,2019-12-10,800.0,1000.0,900.0
48,CEBOLLA CABEZONA BLANCA,2019-12-16,700.0,900.0,800.0
49,CEBOLLA CABEZONA BLANCA,2019-12-18,700.0,900.0,800.0
50,CEBOLLA CABEZONA BLANCA,2019-12-23,600.0,800.0,700.0
51,CEBOLLA CABEZONA BLANCA,2019-12-24,600.0,800.0,700.0
52,CEBOLLA CABEZONA BLANCA,2019-12-26,700.0,900.0,800.0
53,CEBOLLA CABEZONA BLANCA,2019-12-27,600.0,800.0,700.0
54,CEBOLLA CABEZONA BLANCA,2019-12-30,600.0,800.0,700.0
55,CEBOLLA CABEZONA BLANCA,2019-12-31,600.0,800.0,700.0
56,CEBOLLA CABEZONA BLANCA,2020-01-02,600.0,800.0,700.0
57,CEBOLLA CABEZONA BLANCA,2020-01-03,600.0,800.0,700.0
58,CEBOLLA CABEZONA BLANCA,2020-01-07,700.0,900.0,800.0
59,CEBOLLA CABEZONA BLANCA,2020-01-08,700.0,900.0,800.0
60,CEBOLLA CABEZONA BLANCA,2020-01-09,600.0,800.0,700.0
61,CEBOLLA CABEZONA BLANCA,2020-01-10,600.0,800.0,700.0
62,CEBOLLA CABEZONA BLANCA,2020-01-13,500.0,700.0,600.0
63,CEBOLLA CABEZONA BLANCA,2020-01-14,500.0,700.0,600.0
64,CEBOLLA CABEZONA BLANCA,2020-01-15,400.0,600.0,500.0
65,CEBOLLA CABEZONA BLANCA,2020-01-16,400.0,600.0,500.0
66,CEBOLLA CABEZONA BLANCA,2020-01-17,400.0,600.0,500.0
67,CEBOLLA CABEZONA BLANCA,2020-01-18,400.0,600.0,500.0
68,CEBOLLA CABEZONA BLANCA,2020-01-20,400.0,600.0,500.0
69,CEBOLLA CABEZONA BLANCA,2020-01-21,400.0,600.0,500.0
70,CEBOLLA CABEZONA BLANCA,2020-01-22,500.0,700.0,600.0
71,CEBOLLA CABEZONA BLANCA,2020-01-23,500.0,700.0,600.0
72,CEBOLLA CABEZONA BLANCA,2020-01-24,500.0,700.0,600.0
73,CEBOLLA CABEZONA BLANCA,2020-01-25,400.0,600.0,500.0
74,CEBOLLA CABEZONA BLANCA,2020-01-27,500.0,700.0,600.0
